date,open,high,low,close,Adj Close,volume
2013-09-30,1366,1373.650024,1340,1358.550049,1298.978271,406918
2013-10-01,1364.050049,1410,1364,1380.199951,1319.678833,931358
2013-10-03,1394.949951,1420,1375.199951,1412.349976,1350.418945,650153
2013-10-04,1410.5,1434.949951,1406.050049,1428.5,1365.860718,666373
2013-10-07,1425,1432.699951,1402.050049,1410.199951,1348.363159,329756
2013-10-08,1420,1423.849976,1400,1406.599976,1344.921143,411447
2013-10-09,1407,1407,1386.199951,1398.5,1337.17627,481828
2013-10-10,1399,1425.199951,1398.25,1421.099976,1358.785278,617290
2013-10-11,1436.099976,1470,1413.099976,1464,1399.804077,762748
2013-10-14,1465.25,1479,1442.400024,1446.900024,1383.454224,697237
2013-10-15,1452,1473.199951,1431,1439.900024,1376.760986,413066
2013-10-17,1440.050049,1451.800049,1418,1427.050049,1364.474609,316070
2013-10-18,1432,1472.5,1428.099976,1468.75,1404.345947,490221
2013-10-21,1470.349976,1542.75,1470.099976,1519.949951,1453.300903,877353
2013-10-22,1523,1536,1505.300049,1514.599976,1448.185425,351924
2013-10-23,1516.800049,1545,1482.5,1528.849976,1461.810547,534863
2013-10-24,1528,1549.75,1499.949951,1513.900024,1447.516235,580715
2013-10-25,1501.099976,1533.099976,1490,1508.699951,1442.544067,432129
2013-10-28,1510.349976,1529,1503,1513.349976,1446.990356,919522
2013-10-29,1590.900024,1646.5,1565.75,1635.25,1563.544922,4085346
2013-10-30,1641,1659.900024,1625,1636.650024,1564.883667,951167
2013-10-31,1626.099976,1646.699951,1617.25,1636.199951,1564.453369,760636
2013-11-01,1642,1655.849976,1626.25,1636.150024,1564.405518,733492
2013-11-05,1645,1645,1617.199951,1623.25,1552.071167,491093
2013-11-06,1622,1644,1610,1614.550049,1543.752686,526949
2013-11-07,1610.300049,1644.900024,1602.400024,1610.800049,1540.167236,496581
2013-11-08,1605.099976,1610,1557.5,1580.550049,1511.243652,740937
2013-11-11,1580,1604,1561.300049,1582.550049,1513.156006,509621
2013-11-12,1591.5,1622,1582.099976,1587.099976,1517.50647,720325
2013-11-13,1580,1594,1573,1579.5,1510.239624,446748
2013-11-14,1596.699951,1625,1591.449951,1612.599976,1541.888184,633129
2013-11-18,1627.699951,1635.150024,1612.050049,1629.349976,1557.903687,642611
2013-11-19,1630,1691.099976,1625.449951,1682.550049,1608.770996,1253144
2013-11-20,1690,1700,1643.099976,1649.849976,1577.504883,612988
2013-11-21,1654.900024,1667.699951,1638.849976,1647,1574.779663,591465
2013-11-22,1662,1676.75,1636.25,1640.150024,1568.230225,822901
2013-11-25,1653,1689.800049,1646.300049,1678.900024,1605.281006,730897
2013-11-26,1680,1688,1654.550049,1663.300049,1590.365112,395917
2013-11-27,1668.050049,1670,1641,1659.949951,1587.161743,571218
2013-11-28,1669,1675,1648.150024,1666.650024,1593.568115,888680
2013-11-29,1670,1692.650024,1667.150024,1676.150024,1602.651489,502124
2013-12-02,1670,1682.300049,1656.599976,1661.400024,1588.54834,495575
2013-12-03,1660,1686.849976,1652.25,1663.25,1590.317017,572128
2013-12-04,1652.300049,1669.800049,1633.949951,1639.75,1567.847778,428767
2013-12-05,1667.150024,1708.699951,1667.150024,1700.150024,1625.599121,1947489
2013-12-06,1705.75,1717.650024,1694,1701.5,1626.889893,834899
2013-12-09,1738.900024,1770,1709.5,1763.75,1686.410278,1184977
2013-12-10,1763,1780.599976,1746,1751.800049,1674.984375,1048021
2013-12-11,1743.300049,1775.900024,1735,1753,1676.131714,668007
2013-12-12,1748,1748,1710.400024,1714.800049,1639.606934,478485
2013-12-13,1710,1719.949951,1682.599976,1689.599976,1615.511963,577334
2013-12-16,1687,1714.900024,1676,1701.599976,1626.985718,428119
2013-12-17,1710.199951,1731.699951,1694.949951,1701.900024,1627.272583,552326
2013-12-18,1703.75,1740.849976,1695.400024,1729.949951,1654.092285,791839
2013-12-19,1741,1798,1725.25,1780.550049,1702.473633,1469454
2013-12-20,1795,1830,1774.949951,1809.650024,1730.297607,1493300
2013-12-23,1809,1819.900024,1795.599976,1802.400024,1723.365479,681383
2013-12-24,1795,1802.550049,1775.25,1788.800049,1710.361938,409326
2013-12-26,1785,1803.75,1778.449951,1793.599976,1714.951416,362435
2013-12-27,1790.25,1800.699951,1763,1775.050049,1697.214844,503568
2013-12-30,1785,1794.849976,1768,1777.199951,1699.270508,358010
2013-12-31,1780.099976,1784.949951,1757.550049,1763.900024,1686.553833,303542
