date,open,high,low,close,Adj Close,volume
2013-07-11,667,686.700012,666.049988,683.25,658.382568,2649892
2013-07-12,687,697.700012,681.799988,695.75,670.427612,3908713
2013-07-15,691,698.049988,684,695.450012,670.138489,2127972
2013-07-16,679,684.5,669.950012,678.700012,653.998169,2911846
2013-07-17,677.799988,680.799988,647.900024,662.900024,638.773254,5658497
2013-07-18,669.900024,688.5,656.950012,684.099976,659.20166,3415970
2013-07-19,688.049988,691.950012,673.150024,680,655.250793,3114605
2013-07-22,676,687,676,682.049988,657.226257,1615108
2013-07-23,687.900024,690,681.049988,683.599976,658.719788,1853696
2013-07-24,674,676,653.5,659.950012,635.930603,3657187
2013-07-25,660.650024,666,650.150024,653.849976,630.052551,4066814
2013-07-26,656,656.25,638,644.099976,620.65741,2339123
2013-07-29,643,643,629.650024,632.5,609.479614,3730556
2013-07-30,630.75,635,620.099976,625.349976,602.589844,3672771
2013-07-31,621,621.799988,606.900024,609.75,587.557617,6706130
2013-08-01,613.900024,637.799988,612.400024,632.200012,609.190552,5861652
2013-08-02,630,634.799988,626.849976,631.25,608.275085,5003962
2013-08-05,631.549988,635.450012,615,632.700012,609.672302,3399593
2013-08-06,631,631.349976,606.5,608.650024,586.497742,4911295
2013-08-07,609.950012,614.349976,600,601.200012,579.318848,5689114
2013-08-08,604,617.5,600,610.5,588.280396,5115362
2013-08-12,610.049988,610.799988,598.650024,602.200012,580.28241,3925217
2013-08-13,603.849976,624.799988,598.150024,620.5,597.916382,3675598
2013-08-14,622,623.650024,608.650024,621.349976,598.735413,3575927
2013-08-16,614,622,584.900024,587.900024,566.50293,7014892
2013-08-19,587,588.599976,570.299988,584.700012,563.419373,5004610
2013-08-20,574.950012,589.900024,566.5,584.75,563.467529,6431746
2013-08-21,606,619.349976,590,593.349976,571.754517,7227149
2013-08-22,589,603.700012,570,588.700012,567.273865,7562673
2013-08-23,592,609.150024,588.299988,607.549988,585.437622,5174611
2013-08-26,612.349976,622.799988,602.549988,611.299988,589.051208,3651902
2013-08-27,597.299988,600,555.450012,561.900024,541.449158,13677093
2013-08-28,555.700012,572,528,561.950012,541.497375,9266888
2013-08-29,568,582.5,568,572.049988,551.229736,10192751
2013-08-30,571,600,570.650024,594,572.380859,9154229
2013-09-02,598,604.349976,582.5,589.5,568.044678,4878929
2013-09-03,596.900024,596.900024,557.049988,562.549988,542.0755,4535002
2013-09-04,567.450012,576.849976,559.150024,564.049988,543.520935,5235450
2013-09-05,584,622.900024,584,609.5,587.316772,8311562
2013-09-06,611,620,586.75,616.200012,593.772888,4749304
2013-09-10,620.549988,641,618.400024,638,614.77948,5074709
2013-09-11,633,650,625.549988,647.25,623.69281,3172598
2013-09-12,642.5,646,627.599976,633.950012,610.876831,4419134
2013-09-13,632.450012,634.5,621,629.200012,606.299744,3875780
2013-09-16,637.5,648.900024,629,642.799988,619.404785,3034804
2013-09-17,638,645,633.599976,642.25,618.874756,2108022
2013-09-18,643.599976,654.900024,631.150024,650.5,626.824463,2747404
2013-09-19,680,689.900024,676.299988,683.200012,658.334351,7320226
2013-09-20,682.5,686.450012,635.25,659.049988,635.063293,6181538
2013-09-23,651,652.349976,633.099976,641.950012,618.585632,3496310
2013-09-24,633.049988,644.349976,629.950012,638.450012,615.213074,4543797
2013-09-25,638,641.700012,613.200012,620.599976,598.012756,5245230
2013-09-26,621.349976,626,618,621.150024,598.542725,5645610
2013-09-27,622,624,605,608.900024,586.738586,4102173
2013-09-30,606,612.849976,587.700012,593.049988,571.465393,4265607
2013-10-01,598.799988,614.400024,589.349976,611.650024,589.388489,3249277
2013-10-03,615.299988,639,610,636.200012,613.044983,2443228
2013-10-04,635.5,647.400024,635,640.450012,617.14032,3407094
2013-10-07,636.5,638.150024,618.25,634.299988,611.214111,2480500
2013-10-08,650.5,654.549988,625.799988,632.650024,609.624207,2942037
2013-10-09,625.200012,650.900024,623,649.150024,625.523682,2167190
2013-10-10,649,649,633.349976,641.049988,617.718445,2086321
2013-10-11,647.299988,663.75,639.349976,661.299988,637.231384,3347566
2013-10-14,657.549988,669.299988,648.650024,667.5,643.20575,3093930
2013-10-15,673,675,646.599976,652.450012,628.703613,4035831
2013-10-17,653,659.950012,642.549988,654.200012,630.389832,3637897
2013-10-18,655.25,679.549988,655.25,676.599976,651.974487,5320296
2013-10-21,674,678.799988,662.549988,671.25,646.819336,2806356
2013-10-22,671,673.950012,665.200012,669,644.651245,2189524
2013-10-23,669,669,653.799988,660.200012,636.171509,3386239
2013-10-24,656.200012,675.75,656.200012,669.299988,644.940186,3080482
2013-10-25,665.25,674.950012,663.150024,672.549988,648.072021,2236718
2013-10-28,673,675,665.400024,667.900024,643.591248,2095522
2013-10-29,668,689,655.549988,686.5,661.514221,3805729
2013-10-30,686,687.5,675.75,679.349976,654.624512,2547168
2013-10-31,676.200012,685.049988,673.400024,680.799988,656.021729,4548889
2013-11-01,681.599976,688,678.200012,683.799988,658.912537,3910611
2013-11-05,680.450012,685,673,676.25,651.637268,3564618
2013-11-06,678.900024,679.200012,665.25,668.900024,644.55481,1152663
2013-11-07,670,677.5,656.900024,665.400024,641.18219,1947285
2013-11-08,663.400024,667.650024,644.650024,652.5,628.751709,3370190
2013-11-11,644,660.700012,616.700012,654.25,630.438049,2804076
2013-11-12,652.549988,663.049988,643.349976,645.950012,622.440125,2245080
2013-11-13,639,647.450012,628.349976,633.700012,610.635986,2640271
2013-11-14,638,649.900024,638,642.200012,618.826538,3156715
2013-11-18,651.400024,670,649.049988,668.799988,644.458557,3718480
2013-11-19,668.400024,668.400024,657.450012,660.049988,636.026917,1697259
2013-11-20,656.700012,659,646.400024,649.549988,625.909058,2092524
2013-11-21,644.549988,645.599976,635.150024,637.650024,614.4422,3196914
2013-11-22,642.5,646.900024,635.099976,642.150024,618.778442,1873096
2013-11-25,648.049988,661.75,648.049988,659.75,635.737854,4037635
2013-11-26,657.700012,659.900024,648.400024,652.950012,629.185303,3619629
2013-11-27,651.099976,658.75,644.099976,653.549988,629.76355,2148253
2013-11-28,655.599976,663,648.049988,653.400024,629.619019,3693433
2013-11-29,655,668.900024,655,661.299988,637.231384,2392770
2013-12-02,662,665,658.049988,661.299988,637.231384,1714653
2013-12-03,660,662.200012,652.650024,655.75,631.883484,2572070
2013-12-04,654.900024,659.549988,653.450012,657.599976,633.666077,2619152
2013-12-05,671.549988,689.900024,671.549988,688.099976,663.05603,8004998
2013-12-06,684.900024,689.599976,678.25,682.700012,657.852539,4017308
2013-12-09,710,717.400024,692.549988,696.650024,671.294922,6316407
2013-12-10,692.349976,701.849976,690,696.700012,671.343018,6266220
2013-12-11,690.099976,701.799988,686.900024,695.549988,670.234863,3072444
2013-12-12,693.200012,700.549988,690.5,695.200012,669.897583,3216924
2013-12-13,687.799988,702,685,689.950012,664.838745,6329020
2013-12-16,688,690.900024,681.200012,684.349976,659.442444,5358061
2013-12-17,675.650024,675.650024,654.049988,657.599976,633.666077,4485661
2013-12-18,650.5,680.650024,649.549988,666.25,642.001282,3521829
2013-12-19,679,683.950012,650.400024,652.549988,628.799805,2504879
2013-12-20,657.799988,668.599976,650.099976,664.599976,640.411255,1430617
2013-12-23,658,671.5,657,664.450012,640.266785,1382808
2013-12-24,665.549988,666.5,655.049988,657.299988,633.377014,888674
2013-12-26,659.849976,672.200012,656.900024,669.049988,644.699402,2011690
2013-12-27,664.099976,675.450012,664.099976,669.650024,645.277527,1366003
2013-12-30,676.799988,677,665.150024,669.5,645.132996,1056901
2013-12-31,672.099976,672.299988,660.099976,665.849976,641.615784,1315328
2014-01-01,668,669.799988,663,665.150024,640.941284,1123109
2014-01-02,665,674.75,653.549988,657,633.088013,1807248
2014-01-03,652,666,650,663.099976,638.965881,1628296
2014-01-06,663,663,657,661.700012,637.616943,1490855
2014-01-07,667.099976,670.950012,653.299988,664.400024,640.218628,1974230
2014-01-08,665.200012,666.950012,660,664.700012,640.507751,1162370
2014-01-09,663.200012,666.049988,657.099976,662.950012,638.82135,944368
2014-01-10,662.950012,674.700012,656.299988,662.049988,637.954102,1537627
2014-01-13,660.099976,676.950012,656.900024,672.849976,648.361023,1188145
2014-01-14,669.049988,676,668.299988,672.299988,647.831116,894280
2014-01-15,673,682.700012,669.599976,680.549988,655.780762,1156960
2014-01-16,684.400024,685,670.349976,673.049988,648.553772,1125294
2014-01-17,675,675,659.049988,665,640.796692,10843714
2014-01-20,668.099976,676.700012,666.400024,670.049988,645.663025,1400092
2014-01-21,672.950012,678.799988,670,676.099976,651.492676,1562981
2014-01-22,675.5,684.700012,674.650024,677.099976,652.456421,1758334
2014-01-23,675,681.099976,672.75,679.5,654.769043,1370685
2014-01-24,670,674.950012,663.700012,673.400024,648.891052,2210725
2014-01-27,664.900024,664.900024,645.599976,649.200012,625.571838,4265112
2014-01-28,648,656,638.599976,644.450012,620.994751,4598856
2014-01-29,647.5,650.900024,640.549988,645.450012,621.958313,2742731
2014-01-30,637.5,639.900024,627.650024,631.799988,608.805054,2856365
2014-01-31,630,636.299988,625.099976,628.5,605.625183,2405246
2014-02-03,629.950012,634,625.099976,626.5,603.697998,1194205
2014-02-04,621.650024,635.5,616.799988,630.599976,607.648743,1852326
2014-02-05,631,639.799988,625.099976,637.450012,614.249451,1726346
2014-02-06,638.75,649.599976,629.5,647,623.451904,3366736
2014-02-07,652.400024,654.5,642.099976,647.75,624.174561,1007367
2014-02-10,647.650024,650.150024,636,643.900024,620.464783,1570205
2014-02-11,646,647.150024,639.299988,644.799988,621.331909,1116214
2014-02-12,646.599976,652.799988,643.650024,645.450012,621.958313,1609240
2014-02-13,646,648,631.25,632.5,609.479614,788800
2014-02-14,634,643.849976,629.349976,641.799988,618.441101,1062278
2014-02-17,642,652,641.099976,650.400024,626.728149,912530
2014-02-18,648.5,664.400024,647.400024,660.400024,636.364258,1254918
2014-02-19,656.200012,672.25,655,670.049988,645.663025,1015237
2014-02-20,665.799988,667.450012,660.849976,662.75,638.628662,862109
2014-02-21,659.849976,669.599976,659.700012,664.400024,640.218628,760968
2014-02-24,662.099976,673,655.75,671,646.57843,1254746
2014-02-25,674,676,666,671.099976,646.674744,1005140
2014-02-26,670,679.200012,668.549988,677.400024,652.745544,1137835
2014-02-28,682,682.900024,665.150024,669.599976,645.229309,1225896
2014-03-03,665.200012,672,663.200012,666.200012,641.953064,919608
2014-03-04,666,673.849976,664.25,671.700012,647.252869,1610967
